"l1","l2","train.mse","validate.mse","code"
0,0,301.533080430088,1399.3816457846,"TTT"
2,0,482.340579539073,1104.03567182791,"TTT"
4,0,595.272574939687,1037.88391221248,"TTT"
6,0,666.895268839718,997.725310223957,"TTT"
8,0,715.644415974831,968.042455202156,"TTT"
10,0,755.002716440352,955.662910625623,"TTT"
12,0,788.635695776758,939.205755277263,"TTT"
14,0,809.304166850319,931.161197888205,"TTT"
16,0,827.580344663557,923.131232090302,"TTT"
18,0,839.215881878349,918.93669672872,"TTT"
20,0,848.468862147872,916.419023522345,"TTT"
0,0.1,588.721150185115,986.757913263875,"TTT"
2,0.1,653.914224186204,967.779975685598,"TTT"
4,0.1,708.123816904824,956.383564240762,"TTT"
6,0.1,748.745437157282,942.582603341114,"TTT"
8,0.1,782.152528545292,932.490488944981,"TTT"
10,0.1,808.208500466303,924.249694871604,"TTT"
12,0.1,824.502124369704,921.370501311241,"TTT"
14,0.1,837.194634334944,915.694244476772,"TTT"
16,0.1,846.740983219853,912.925487826691,"TTT"
18,0.1,856.214347469511,912.260302970584,"TTT"
20,0.1,864.170991637521,911.9674544112,"TTT"
0,0.2,662.299262975897,950.086185290582,"TTT"
2,0.2,709.790824354965,940.385870459229,"TTT"
4,0.2,748.653256418545,935.39383316309,"TTT"
6,0.2,781.806246854437,927.060999149193,"TTT"
8,0.2,808.433809931525,920.526722494699,"TTT"
10,0.2,827.098279662945,917.065786388711,"TTT"
12,0.2,839.781485896995,914.153517788065,"TTT"
14,0.2,849.510184110987,910.904567331099,"TTT"
16,0.2,858.22541449941,910.109787519397,"TTT"
18,0.2,866.466986630643,910.291617963793,"TTT"
20,0.2,873.368545654845,910.913837071253,"TTT"
0,0.3,704.691146289122,936.093727531446,"TTT"
2,0.3,741.985422964974,930.017239933729,"TTT"
4,0.3,774.857291666162,923.45045923545,"TTT"
6,0.3,802.803896437464,920.544829970183,"TTT"
8,0.3,824.718282875676,915.042654058018,"TTT"
10,0.3,839.809348645006,913.266987196926,"TTT"
12,0.3,850.219026758174,911.34428464799,"TTT"
14,0.3,858.3172369716,909.507534258444,"TTT"
16,0.3,866.596726827324,909.472195263635,"TTT"
18,0.3,873.859025736361,910.087278181026,"TTT"
20,0.3,880.218153403673,910.973320331207,"TTT"
0,0.4,733.34294380463,927.245012091437,"TTT"
2,0.4,765.214379694664,923.179148222296,"TTT"
4,0.4,793.696249712521,918.056814386729,"TTT"
6,0.4,817.986102341073,915.917481402793,"TTT"
8,0.4,836.177856076477,912.361716718308,"TTT"
10,0.4,849.335248939841,911.358221154324,"TTT"
12,0.4,858.042124042989,910.052187882369,"TTT"
14,0.4,865.663596487791,909.468530960243,"TTT"
16,0.4,873.149575851548,909.896915455814,"TTT"
18,0.4,879.84588697837,910.646813833364,"TTT"
20,0.4,885.687664599933,911.599423838533,"TTT"
0,0.5,754.83606012896,922.514099282717,"TTT"
2,0.5,782.927344836825,918.340856376758,"TTT"
4,0.5,808.194593515347,915.873944940626,"TTT"
6,0.5,829.342081842217,912.973403945192,"TTT"
8,0.5,845.271188294309,911.253496457025,"TTT"
10,0.5,856.756715698082,910.276843962911,"TTT"
12,0.5,864.313118173471,909.599016802466,"TTT"
14,0.5,871.720544991201,909.882059794452,"TTT"
16,0.5,878.53204251607,910.751476630502,"TTT"
18,0.5,884.933232030425,911.684668738944,"TTT"
20,0.5,890.378377717809,912.581617393358,"TTT"
0,0.6,771.950871239617,919.15601115927,"TTT"
2,0.6,796.930807084386,914.99126828747,"TTT"
4,0.6,820.015306069343,914.422247342976,"TTT"
6,0.6,838.488319609345,911.627838598525,"TTT"
8,0.6,852.72213579985,910.730534963775,"TTT"
10,0.6,862.888070654138,910.107981393875,"TTT"
12,0.6,869.637942550661,909.794930003079,"TTT"
14,0.6,876.862003121894,910.623300100443,"TTT"
16,0.6,883.166703726804,911.632501449223,"TTT"
18,0.6,889.20197187286,912.726415800169,"TTT"
20,0.6,894.40593722238,913.755232326572,"TTT"
0,0,301.58017271635,1398.62085707098,"FTT"
2,0,482.407324942889,1103.6013725264,"FTT"
4,0,595.256292642109,1037.88339350216,"FTT"
6,0,666.880529424036,997.814606595423,"FTT"
8,0,715.666468631685,968.010210201711,"FTT"
10,0,755.018743559303,955.627968026204,"FTT"
12,0,788.653934408098,939.172023607577,"FTT"
14,0,809.308647574807,931.164833756089,"FTT"
16,0,827.582900852206,923.119803491717,"FTT"
18,0,839.217873363131,918.936372489782,"FTT"
20,0,848.46898950702,916.418344645441,"FTT"
0,0.1,588.711559766055,986.687376252466,"FTT"
2,0.1,653.908119447855,967.813238255519,"FTT"
4,0.1,708.116828723901,956.388671728268,"FTT"
6,0.1,748.744684035011,942.585404987723,"FTT"
8,0.1,782.149762008897,932.492197138075,"FTT"
10,0.1,808.208989650233,924.241499887392,"FTT"
12,0.1,824.506500557867,921.364572627545,"FTT"
14,0.1,837.193481472611,915.691907705256,"FTT"
16,0.1,846.743925297494,912.926636553824,"FTT"
18,0.1,856.214493254727,912.264410316213,"FTT"
20,0.1,864.174121739423,911.96924579618,"FTT"
0,0.2,662.309619050239,950.101484008486,"FTT"
2,0.2,709.794573627694,940.375547448449,"FTT"
4,0.2,748.654932269295,935.394715924194,"FTT"
6,0.2,781.798222965115,927.068216956206,"FTT"
8,0.2,808.436191664727,920.522033822807,"FTT"
10,0.2,827.102136493645,917.06479400663,"FTT"
12,0.2,839.781641482933,914.152632122016,"FTT"
14,0.2,849.509620191314,910.903462840172,"FTT"
16,0.2,858.228521229625,910.108882091699,"FTT"
18,0.2,866.469991975987,910.297943644707,"FTT"
20,0.2,873.374821485677,910.907351926586,"FTT"
0,0.3,704.690052391607,936.081198679641,"FTT"
2,0.3,741.985510813492,930.015657902684,"FTT"
4,0.3,774.852482800998,923.453605588459,"FTT"
6,0.3,802.80697665529,920.540818649586,"FTT"
8,0.3,824.718570918993,915.043038407582,"FTT"
10,0.3,839.809864773305,913.2661601695,"FTT"
12,0.3,850.22004214999,911.342892754337,"FTT"
14,0.3,858.318737017187,909.506892486332,"FTT"
16,0.3,866.600017328768,909.472813042909,"FTT"
18,0.3,873.865426986047,910.09298457423,"FTT"
20,0.3,880.222926759099,910.968049343434,"FTT"
0,0.4,733.338147911768,927.256990287522,"FTT"
2,0.4,765.211697831155,923.181396032116,"FTT"
4,0.4,793.698727477598,918.05531511176,"FTT"
6,0.4,817.985238266212,915.915477026087,"FTT"
8,0.4,836.178253985097,912.362175734469,"FTT"
10,0.4,849.336195836911,911.358684363647,"FTT"
12,0.4,858.042420761776,910.052054608258,"FTT"
14,0.4,865.66563161174,909.4680275163,"FTT"
16,0.4,873.151673742782,909.897362565921,"FTT"
18,0.4,879.850352770524,910.649615067119,"FTT"
20,0.4,885.691873109395,911.59928675362,"FTT"
0,0.5,754.839487349686,922.510762757172,"FTT"
2,0.5,782.930288783177,918.338906774819,"FTT"
4,0.5,808.193703581036,915.874326900878,"FTT"
6,0.5,829.342156654406,912.974710872793,"FTT"
8,0.5,845.272136575906,911.253455956248,"FTT"
10,0.5,856.757176599445,910.277248168545,"FTT"
12,0.5,864.313338256643,909.598943852907,"FTT"
14,0.5,871.722235896807,909.881722087101,"FTT"
16,0.5,878.534735871603,910.751819862103,"FTT"
18,0.5,884.941165599449,911.686759215095,"FTT"
20,0.5,890.380083433612,912.5845992247,"FTT"
0,0.6,771.951699189084,919.156226063767,"FTT"
2,0.6,796.930139913199,914.991690127634,"FTT"
4,0.6,820.01456122383,914.423544721888,"FTT"
6,0.6,838.489334352162,911.628091600948,"FTT"
8,0.6,852.722577743174,910.7303911483,"FTT"
10,0.6,862.888662369349,910.108495834128,"FTT"
12,0.6,869.638357663455,909.794900120481,"FTT"
14,0.6,876.864016567402,910.623150741929,"FTT"
16,0.6,883.16890323032,911.632811971068,"FTT"
18,0.6,889.208179486303,912.728116651576,"FTT"
20,0.6,894.410310012825,913.761823366576,"FTT"
0,0,396.319455031156,1339.18244263463,"TFT"
2,0,565.1720459035,1100.17942999088,"TFT"
4,0,677.172526443945,1039.87461072189,"TFT"
6,0,750.894005204056,994.138314783453,"TFT"
8,0,802.64616670381,958.532812666816,"TFT"
10,0,840.885349225092,942.641840921529,"TFT"
12,0,873.4022945239,937.169963066134,"TFT"
14,0,898.376798671721,932.101181967097,"TFT"
16,0,914.941873619171,928.282908697811,"TFT"
18,0,925.762894725639,926.627422174561,"TFT"
20,0,933.693241118563,926.228964966291,"TFT"
0,0.1,692.179942782087,968.103850448306,"TFT"
2,0.1,753.464597762756,957.726387371753,"TFT"
4,0.1,805.467639925276,949.656591957929,"TFT"
6,0.1,844.813324937294,945.656713244688,"TFT"
8,0.1,876.804116546384,940.42371428398,"TFT"
10,0.1,902.781057435166,937.483236416197,"TFT"
12,0.1,921.147832369213,936.010523335333,"TFT"
14,0.1,932.811998781312,937.411630801963,"TFT"
16,0.1,939.381609135908,936.754194950651,"TFT"
18,0.1,943.935580549697,937.760806822034,"TFT"
20,0.1,948.27594780458,940.568528883873,"TFT"
0,0.2,767.645836336005,950.404004642415,"TFT"
2,0.2,810.854204660801,947.344397429243,"TFT"
4,0.2,848.020256367351,945.496676285537,"TFT"
6,0.2,878.556802401271,945.263184265483,"TFT"
8,0.2,904.550922146068,945.045959389018,"TFT"
10,0.2,923.581016182552,942.700344934618,"TFT"
12,0.2,935.691056345505,944.310462338258,"TFT"
14,0.2,943.849652992584,945.076932499779,"TFT"
16,0.2,947.975309257094,945.071137569463,"TFT"
18,0.2,951.300920678626,946.75044467053,"TFT"
20,0.2,955.73980065919,949.506128327131,"TFT"
0,0.3,808.699569167404,948.831460584795,"TFT"
2,0.3,842.629601500836,946.616581557121,"TFT"
4,0.3,872.953867005427,946.753102123475,"TFT"
6,0.3,899.102452536065,948.029752206382,"TFT"
8,0.3,920.461882219667,948.76290416956,"TFT"
10,0.3,934.187745076621,948.905696265697,"TFT"
12,0.3,944.219071609952,950.146782892511,"TFT"
14,0.3,949.704636874847,950.500948331013,"TFT"
16,0.3,952.734199298475,950.900664695669,"TFT"
18,0.3,956.609015003969,953.148656060432,"TFT"
20,0.3,960.578197234044,955.574301712846,"TFT"
0,0.4,835.679279129014,949.001407861653,"TFT"
2,0.4,864.104965123136,948.339536611681,"TFT"
4,0.4,889.879498876679,948.57406976166,"TFT"
6,0.4,913.129845939991,951.038946840595,"TFT"
8,0.4,930.115452263674,951.520218864169,"TFT"
10,0.4,941.499248874841,953.425399891062,"TFT"
12,0.4,949.780263089697,953.834306201494,"TFT"
14,0.4,953.920571078521,954.096154902985,"TFT"
16,0.4,956.737199694553,955.151463949043,"TFT"
18,0.4,960.760160444764,957.677142033744,"TFT"
20,0.4,964.480352355755,960.145667320794,"TFT"
0,0.5,855.195380722084,950.646427720521,"TFT"
2,0.5,879.947773903885,950.400808051429,"TFT"
4,0.5,902.804477071972,950.97536055953,"TFT"
6,0.5,923.141276210068,954.375805687919,"TFT"
8,0.5,937.081927605908,955.171572341889,"TFT"
10,0.5,947.301997597224,956.753458823174,"TFT"
12,0.5,954.147736571891,956.929870480748,"TFT"
14,0.5,957.220767819613,957.06556629219,"TFT"
16,0.5,960.243594519054,958.816841158418,"TFT"
18,0.5,964.109471467797,961.359884985967,"TFT"
20,0.5,967.657728489958,963.788920562292,"TFT"
0,0.6,870.200160967489,951.953708042929,"TFT"
2,0.6,892.16420958144,952.394476250903,"TFT"
4,0.6,913.021909189443,954.48138319631,"TFT"
6,0.6,930.437691771725,956.598593582593,"TFT"
8,0.6,942.694756908267,958.689363113959,"TFT"
10,0.6,951.882768398652,959.549190786313,"TFT"
12,0.6,957.418456312353,959.452065781321,"TFT"
14,0.6,959.834121320145,959.811363297693,"TFT"
16,0.6,963.23826677282,961.980437246453,"TFT"
18,0.6,966.919248848692,964.463952875017,"TFT"
20,0.6,970.458977453054,966.959261538372,"TFT"
0,0,400.338034267057,1346.37893728282,"FFT"
2,0,568.304702713405,1098.92220955972,"FFT"
4,0,679.867938700207,1040.9486374553,"FFT"
6,0,754.22363654029,1002.85410013491,"FFT"
8,0,804.130318704087,966.345019565417,"FFT"
10,0,842.63515338572,949.741969765973,"FFT"
12,0,874.489527034161,943.762399556526,"FFT"
14,0,899.684805503979,938.597715334499,"FFT"
16,0,915.999279741678,934.403081338595,"FFT"
18,0,926.906933202765,932.486900108984,"FFT"
20,0,935.744002645773,930.645545053059,"FFT"
0,0.1,695.958986218371,972.577462171963,"FFT"
2,0.1,757.236484942484,962.496269141294,"FFT"
4,0.1,808.790579569075,954.604218540169,"FFT"
6,0.1,847.967163071838,952.110274533338,"FFT"
8,0.1,879.862201073451,947.190457307497,"FFT"
10,0.1,905.815295853083,944.372736122874,"FFT"
12,0.1,923.872004604281,942.935220956826,"FFT"
14,0.1,935.709653565884,943.66495284856,"FFT"
16,0.1,942.432390284386,942.812156121767,"FFT"
18,0.1,947.184349702358,943.66822708563,"FFT"
20,0.1,951.455982452681,946.298581920666,"FFT"
0,0.2,771.54894561253,956.101684330714,"FFT"
2,0.2,814.467611014348,953.021012102603,"FFT"
4,0.2,851.453137713183,951.380226335706,"FFT"
6,0.2,881.934595928462,951.279954254624,"FFT"
8,0.2,908.100288290808,951.221106359186,"FFT"
10,0.2,926.817284373712,949.039516378291,"FFT"
12,0.2,938.833855755693,950.648248492276,"FFT"
14,0.2,946.890797430142,951.019963530817,"FFT"
16,0.2,951.212796335791,950.73500884931,"FFT"
18,0.2,954.576256757768,952.454799707823,"FFT"
20,0.2,958.951350834149,955.065711678913,"FFT"
0,0.3,812.407450804329,954.65155277788,"FFT"
2,0.3,846.179886799946,952.563897487905,"FFT"
4,0.3,876.462591656786,952.72793474517,"FFT"
6,0.3,902.56920094978,954.169630863493,"FFT"
8,0.3,923.872787183739,954.600319129995,"FFT"
10,0.3,937.462734307301,954.891984372296,"FFT"
12,0.3,947.433970057957,956.053952062425,"FFT"
14,0.3,952.836383564756,956.159474858613,"FFT"
16,0.3,955.942054838659,956.455635093566,"FFT"
18,0.3,959.776348445626,958.587083001625,"FFT"
20,0.3,963.766643988752,960.868339522399,"FFT"
0,0.4,839.30740985212,954.884532138238,"FFT"
2,0.4,867.641601942006,954.302546806373,"FFT"
4,0.4,893.259315190732,954.452384273767,"FFT"
6,0.4,916.523379413835,956.986472204041,"FFT"
8,0.4,933.370318920188,957.157783921953,"FFT"
10,0.4,944.74785647687,959.035922276488,"FFT"
12,0.4,953.021252009085,959.429957583184,"FFT"
14,0.4,957.036057423962,959.555898820684,"FFT"
16,0.4,959.936892379679,960.561527118909,"FFT"
18,0.4,963.816958972345,962.859871725871,"FFT"
20,0.4,967.478679879107,965.131577971617,"FFT"
0,0.5,858.741926335673,956.387479867984,"FFT"
2,0.5,883.366844473709,956.057880085101,"FFT"
4,0.5,906.113854813093,956.649361461763,"FFT"
6,0.5,926.465856448133,959.974743369603,"FFT"
8,0.5,940.292106025321,960.629631382997,"FFT"
10,0.5,950.501053644989,962.096636445191,"FFT"
12,0.5,957.264562791284,962.283374647348,"FFT"
14,0.5,960.256197006221,962.326240906904,"FFT"
16,0.5,963.34145857276,963.939863049951,"FFT"
18,0.5,967.103709403989,966.345456607282,"FFT"
20,0.5,970.575635162415,968.553128484586,"FFT"
0,0.6,873.616914150586,957.444818799167,"FFT"
2,0.6,895.454318824627,957.848015613594,"FFT"
4,0.6,916.246963526916,959.922272657141,"FFT"
6,0.6,933.622298366169,961.962308793357,"FFT"
8,0.6,945.756145169417,963.827725941765,"FFT"
10,0.6,954.95486410968,964.668291571246,"FFT"
12,0.6,960.425582507799,964.554519923552,"FFT"
14,0.6,962.82485580712,964.838134457677,"FFT"
16,0.6,966.214179749746,966.841824325779,"FFT"
18,0.6,969.791932586265,969.178265841338,"FFT"
20,0.6,973.18763644293,971.465271804822,"FFT"
0,0,786.167210491406,1046.58772690251,"TTF"
2,0,790.640039900332,1009.05632721024,"TTF"
4,0,798.31950605443,986.430459293963,"TTF"
6,0,807.396836689798,971.299216070137,"TTF"
8,0,817.270038668107,960.669673111133,"TTF"
10,0,825.855199032694,949.102475258423,"TTF"
12,0,834.439738036481,939.074122030028,"TTF"
14,0,843.379579029045,931.17790677976,"TTF"
16,0,851.952002536756,925.781674860653,"TTF"
18,0,859.001258442453,922.148175937041,"TTF"
20,0,865.721147827168,919.426557779085,"TTF"
0,0.1,804.418912164021,970.966013750161,"TTF"
2,0.1,811.001486508914,957.822618889454,"TTF"
4,0.1,818.236375734468,947.897971792202,"TTF"
6,0.1,825.918573040584,940.645000218629,"TTF"
8,0.1,833.711859249777,935.036194672999,"TTF"
10,0.1,841.187706873527,929.577620463554,"TTF"
12,0.1,848.623511546552,924.243315130877,"TTF"
14,0.1,855.986973213243,920.13476798201,"TTF"
16,0.1,862.637992898498,917.885385460693,"TTF"
18,0.1,868.772726414882,916.249134798347,"TTF"
20,0.1,874.42131472214,915.443131273098,"TTF"
0,0.2,819.143525968189,945.100448244817,"TTF"
2,0.2,825.376660400778,937.503005775903,"TTF"
4,0.2,831.99432202479,931.876221978595,"TTF"
6,0.2,838.833020365188,927.238381988527,"TTF"
8,0.2,845.623293151931,923.876601884535,"TTF"
10,0.2,852.257526984306,920.919213775698,"TTF"
12,0.2,858.845824958071,917.976956895146,"TTF"
14,0.2,864.981875517922,915.774142720879,"TTF"
16,0.2,870.824323632475,914.52843306239,"TTF"
18,0.2,876.268844581819,913.896711689709,"TTF"
20,0.2,881.109848306739,913.849389327524,"TTF"
0,0.3,830.834594181424,932.31775315577,"TTF"
2,0.3,836.667504514044,927.124110256639,"TTF"
4,0.3,842.687608413614,923.450121006482,"TTF"
6,0.3,848.839845178933,920.316860066579,"TTF"
8,0.3,854.966752360207,918.416533987367,"TTF"
10,0.3,860.857796591114,916.5697510961,"TTF"
12,0.3,866.720735118873,915.253688657359,"TTF"
14,0.3,872.173498850089,914.097013510683,"TTF"
16,0.3,877.469738667204,913.336491935242,"TTF"
18,0.3,882.189790872992,913.399340315351,"TTF"
20,0.3,886.562718556589,913.577188321037,"TTF"
0,0.4,840.379171515969,925.035426238894,"TTF"
2,0.4,845.761979031955,921.273012707585,"TTF"
4,0.4,851.304889679226,918.731600046646,"TTF"
6,0.4,856.950419707919,916.616929831415,"TTF"
8,0.4,862.468616916009,915.474683893289,"TTF"
10,0.4,867.85130275697,914.552221147135,"TTF"
12,0.4,873.120078792543,913.983911333373,"TTF"
14,0.4,878.142035572717,913.5854706944,"TTF"
16,0.4,882.990813939252,913.426053421175,"TTF"
18,0.4,887.235161041605,913.632849686634,"TTF"
20,0.4,891.268910824818,913.939783582594,"TTF"
0,0.5,848.383281588709,920.583728331747,"TTF"
