"trees","train.mse","validate.mse","code"
50,386.925598895271,998.481059016631,"TTT"
100,357.515496542423,964.919658399345,"TTT"
150,366.93390682038,968.001524547704,"TTT"
200,358.53477257646,960.991936750181,"TTT"
250,354.196706105973,954.298553740107,"TTT"
50,369.131474292656,971.938730399333,"FTT"
100,357.558747045143,955.553531167951,"FTT"
150,359.751470353257,968.840920502641,"FTT"
200,358.062053402818,959.101050716918,"FTT"
250,352.672913045689,952.958978552604,"FTT"
50,396.880656446698,994.054444132655,"TFT"
100,389.286233538264,992.414093022235,"TFT"
150,374.686560471158,981.689368305836,"TFT"
200,370.229192661072,991.950366384152,"TFT"
250,371.913458530601,990.146581483794,"TFT"
50,381.459474347878,995.559454275647,"FFT"
100,372.697773791043,994.587893240935,"FFT"
150,384.541667973954,1016.78016095659,"FFT"
200,380.88628056339,1005.8669436862,"FFT"
250,378.066471974488,1003.58448461028,"FFT"
50,378.905471767348,977.745307420541,"TTF"
100,367.710538889178,979.176986698223,"TTF"
150,368.449765295189,979.877234793617,"TTF"
200,358.336767410102,984.215272330213,"TTF"
250,358.67784479998,995.382607275239,"TTF"
50,382.333820073725,1004.58044012744,"FTF"
100,374.219251851252,979.392140079754,"FTF"
150,365.69478212166,991.694404399626,"FTF"
200,362.991827644089,983.374680588938,"FTF"
250,356.72463233542,986.027135359424,"FTF"
50,752.983069509637,918.130354411483,"TFF"
100,753.793637101545,910.577718586417,"TFF"
150,742.999597945759,910.853961647631,"TFF"
200,750.537994703447,912.579141986695,"TFF"
250,751.992598243718,913.93332124719,"TFF"
50,878.017137669587,907.266875983072,"FFF"
100,872.315146160785,905.852125305044,"FFF"
150,871.001982653466,914.349926536825,"FFF"
200,871.770681518629,912.517477968223,"FFF"
250,868.748582104329,909.542603105192,"FFF"
50,368.786240476342,902.943523678497,"TTT"
100,362.62624608191,931.863666997084,"TTT"
150,367.066355754286,897.477654727335,"TTT"
200,363.021657575321,907.773609500416,"TTT"
250,365.618364850744,903.948046027775,"TTT"
50,384.820833199332,915.99966948538,"FTT"
100,365.385610835484,913.262083876396,"FTT"
150,372.301472726167,907.871169574791,"FTT"
200,367.602071390837,912.653511449863,"FTT"
250,365.217147195984,908.749401283602,"FTT"
50,404.119425724174,966.751393114332,"TFT"
100,376.253545188121,960.286215420648,"TFT"
150,378.218326382502,961.958851225301,"TFT"
200,380.832671311311,965.850052471543,"TFT"
250,372.084078569014,959.179252098171,"TFT"
50,379.854760984106,996.401569118332,"FFT"
100,387.736848517613,994.093220275089,"FFT"
150,382.465437579932,969.830483304585,"FFT"
200,385.164732094817,978.622142280696,"FFT"
250,373.751366438668,970.035730079426,"FFT"
50,376.045398276633,941.269736813333,"TTF"
100,370.967329733277,926.827698119273,"TTF"
150,362.507755191378,929.082013646227,"TTF"
200,369.311010116433,926.11412441609,"TTF"
250,367.100893713542,917.233984772201,"TTF"
50,373.064048511144,915.133123602484,"FTF"
100,375.218507578145,928.847756531375,"FTF"
150,375.035728970032,933.94501457115,"FTF"
200,370.481820260108,920.530633121448,"FTF"
250,369.575218929865,923.524281835679,"FTF"
